09-16-2024 14:00:09.251,-,SERIAL,"COM9 - 9600/8/N/1/N"

09-16-2024 14:00:09.283,976,RECV,20202020352E30336720200D0A
09-16-2024 14:00:09.405,977,RECV,20202020352E30336720200D0A
09-16-2024 14:00:09.523,978,RECV,20202020352E30336720200D0A20202020
09-16-2024 14:00:09.573,979,RECV,352E30336720200D0A
09-16-2024 14:00:09.673,980,RECV,20202020352E30336720200D0A
09-16-2024 14:00:09.740,981,RECV,202020
09-16-2024 14:00:09.804,982,RECV,20352E30336720200D0A20202020352E3033672020
09-16-2024 14:00:09.857,983,RECV,0D0A
09-16-2024 14:00:09.916,984,RECV,20202020352E30336720200D0A
09-16-2024 14:00:10.037,985,RECV,20202020352E30336720200D0A
09-16-2024 14:00:10.090,986,RECV,20202020352E30336720200D0A
09-16-2024 14:00:10.207,987,RECV,20202020
09-16-2024 14:00:10.262,988,RECV,352E30336720200D0A202020
09-16-2024 14:00:10.324,989,RECV,20352E30336720200D0A
09-16-2024 14:00:10.374,990,RECV,20202020352E
09-16-2024 14:00:10.426,991,RECV,30336720200D0A20
09-16-2024 14:00:10.484,992,RECV,202020352E30336720200D0A
09-16-2024 14:00:10.540,993,RECV,2020202035
09-16-2024 14:00:10.541,994,RECV,2E
09-16-2024 14:00:10.593,995,RECV,30336720200D0A
09-16-2024 14:00:10.655,996,RECV,20202020352E3033672020
09-16-2024 14:00:10.717,997,RECV,0D0A20202020352E30336720200D0A
09-16-2024 14:00:10.836,998,RECV,20202020352E30336720200D0A
09-16-2024 14:00:11.003,999,RECV,20202020352E30336720200D0A20202020
09-16-2024 14:00:11.054,1000,RECV,352E30336720200D0A
09-16-2024 14:00:11.171,1001,RECV,20202020352E30336720200D0A
09-16-2024 14:00:11.223,1002,RECV,20202020352E30336720200D0A
09-16-2024 14:00:11.275,1003,RECV,20202020352E30336720200D0A
09-16-2024 14:00:11.391,1004,RECV,20202020352E30336720200D0A
09-16-2024 14:00:11.506,1005,RECV,20202020352E30336720200D0A
09-16-2024 14:00:11.558,1006,RECV,20202020352E30336720200D0A
09-16-2024 14:00:11.683,1007,RECV,20202020352E30336720200D0A
09-16-2024 14:00:11.793,1008,RECV,20202020352E30336720200D0A
09-16-2024 14:00:11.855,1009,RECV,20202020352E30336720200D0A
09-16-2024 14:00:11.908,1010,RECV,20
09-16-2024 14:00:11.973,1011,RECV,202020352E30336720200D0A
09-16-2024 14:00:12.023,1012,RECV,20202020352E
09-16-2024 14:00:12.023,1013,RECV,30
09-16-2024 14:00:12.075,1014,RECV,336720200D0A2020
09-16-2024 14:00:12.140,1015,RECV,2020352E30336720200D0A
09-16-2024 14:00:12.204,1016,RECV,20202020352E30336720200D0A
09-16-2024 14:00:12.307,1017,RECV,20202020352E30336720200D0A
09-16-2024 14:00:12.357,1018,RECV,20202020352E3033
09-16-2024 14:00:12.408,1019,RECV,6720200D0A
09-16-2024 14:00:12.520,1020,RECV,20202020352E30336720200D0A
09-16-2024 14:00:12.574,1021,RECV,20202020352E
09-16-2024 14:00:12.626,1022,RECV,30336720200D0A
09-16-2024 14:00:12.689,1023,RECV,20202020352E30336720200D0A
09-16-2024 14:00:12.814,1024,RECV,20202020352E30336720200D0A
09-16-2024 14:00:12.872,1025,RECV,20202020352E30336720200D0A
09-16-2024 14:00:12.997,1026,RECV,20202020352E30336720200D0A
09-16-2024 14:00:13.060,1027,RECV,20202020352E30336720200D0A
09-16-2024 14:00:13.121,1028,RECV,20202020352E30336720200D0A
09-16-2024 14:00:13.247,1029,RECV,20202020352E30336720200D0A
09-16-2024 14:00:13.310,1030,RECV,20202020352E30336720200D0A
09-16-2024 14:00:13.425,1031,RECV,20202020352E30336720200D0A
09-16-2024 14:00:13.488,1032,RECV,2020202035
