00:00:00.022 -> (3.3088953495, 3.3284456729, 1.6471162796, 3.2991201877, 3.2844574451, 3.2844574451)
00:00:00.113 -> (3.2991201877, 3.3284456729, 1.6568914413, 3.3088953495, 3.2893450260, 3.2844574451)
00:00:00.222 -> (3.2942326068, 3.3284456729, 1.6666666030, 3.3284456729, 3.2844574451, 3.2795698642)
00:00:00.327 -> (3.3040077686, 3.3235580921, 1.6617790222, 3.3088953495, 3.2795698642, 3.2844574451)
00:00:00.434 -> (3.2991201877, 3.3284456729, 1.6666666030, 3.2942326068, 3.2893450260, 3.2795698642)
00:00:00.539 -> (3.2991201877, 3.3333332538, 1.6568914413, 3.3040077686, 3.2844574451, 3.2746822834)
00:00:00.646 -> (3.2991201877, 3.3284456729, 1.6764417648, 3.3235580921, 3.2893450260, 3.2844574451)
00:00:00.752 -> (3.2942326068, 3.3333332538, 1.6959922313, 3.3186705112, 3.2893450260, 3.2844574451)
00:00:00.858 -> (3.2991201877, 3.3284456729, 1.6813293457, 3.3137829303, 3.2844574451, 3.2795698642)
00:00:00.964 -> (3.3040077686, 3.3284456729, 1.6617790222, 3.3088953495, 3.2893450260, 3.2844574451)
00:00:01.070 -> (3.3040077686, 3.3333332538, 1.6520038604, 3.3040077686, 3.2844574451, 3.2795698642)
00:00:01.176 -> (3.3088953495, 3.3235580921, 1.6471162796, 3.3186705112, 3.2844574451, 3.2795698642)
00:00:01.283 -> (3.3040077686, 3.3284456729, 1.6666666030, 3.2991201877, 3.2893450260, 3.2795698642)
00:00:01.388 -> (3.2991201877, 3.3284456729, 1.6666666030, 3.2942326068, 3.2795698642, 3.2746822834)
00:00:01.495 -> (3.3040077686, 3.3284456729, 1.6568914413, 3.3040077686, 3.2844574451, 3.2795698642)
00:00:01.600 -> (3.2942326068, 3.3284456729, 1.6568914413, 3.3137829303, 3.2844574451, 3.2844574451)
00:00:01.707 -> (3.2991201877, 3.3284456729, 1.6617790222, 3.3137829303, 3.2746822834, 3.2893450260)
00:00:01.813 -> (3.3040077686, 3.3284456729, 1.6666666030, 3.3088953495, 3.2844574451, 3.2795698642)
00:00:01.918 -> (3.3040077686, 3.3235580921, 1.6568914413, 3.3186705112, 3.2942326068, 3.2795698642)
00:00:02.025 -> (3.2991201877, 3.3235580921, 1.6666666030, 3.3088953495, 3.2942326068, 3.2697947025)
00:00:02.130 -> (3.2991201877, 3.3333332538, 1.6764417648, 3.3040077686, 3.2746822834, 3.2795698642)
00:00:02.237 -> (3.2893450260, 3.3333332538, 1.6568914413, 3.3186705112, 3.2795698642, 3.2795698642)
00:00:02.343 -> (3.3040077686, 3.3284456729, 1.6617790222, 3.3235580921, 3.2893450260, 3.2844574451)
00:00:02.449 -> (3.2844574451, 3.3333332538, 1.6715541839, 3.3577711582, 3.2942326068, 3.2697947025)
00:00:02.555 -> (3.2991201877, 3.3333332538, 1.6568914413, 3.3186705112, 3.2844574451, 3.2795698642)
00:00:02.661 -> (3.2893450260, 3.3333332538, 1.6911046504, 3.3333332538, 3.2844574451, 3.2795698642)
00:00:02.767 -> (3.3088953495, 3.3235580921, 1.6226783752, 3.3088953495, 3.2942326068, 3.2844574451)
00:00:02.874 -> (3.3040077686, 3.3382208347, 1.6520038604, 3.2697947025, 3.2649071216, 3.2746822834)
00:00:02.979 -> (3.3088953495, 3.3382208347, 1.6422286987, 3.2942326068, 3.2746822834, 3.2893450260)
00:00:03.086 -> (3.3137829303, 3.3333332538, 1.6373411178, 3.2649071216, 3.2697947025, 3.2844574451)
00:00:03.191 -> (3.2844574451, 3.3333332538, 1.6911046504, 3.3382208347, 3.2795698642, 3.2746822834)
00:00:03.298 -> (3.3137829303, 3.3235580921, 1.6568914413, 3.3333332538, 3.2942326068, 3.2844574451)
