09-20-2024 12:20:24.672,-,SERIAL,"COM15 - 9600/8/N/1/N"

09-20-2024 12:20:24.688,1952,RECV,6720200D0A20
09-20-2024 12:20:24.751,1953,RECV,202020342E39396720200D0A
09-20-2024 12:20:24.874,1954,RECV,20202020342E39396720200D0A
09-20-2024 12:20:24.936,1955,RECV,20202020342E39396720200D0A
09-20-2024 12:20:25.061,1956,RECV,20202020342E39396720200D0A
09-20-2024 12:20:25.124,1957,RECV,20202020342E39396720200D0A
09-20-2024 12:20:25.186,1958,RECV,20202020342E39396720200D0A
09-20-2024 12:20:25.311,1959,RECV,20202020342E393967
09-20-2024 12:20:25.374,1960,RECV,20200D0A2020
09-20-2024 12:20:25.436,1961,RECV,2020342E39396720200D0A
09-20-2024 12:20:25.561,1962,RECV,20202020342E39396720200D0A
09-20-2024 12:20:25.624,1963,RECV,20202020342E39396720200D0A
09-20-2024 12:20:25.686,1964,RECV,20202020342E39396720200D0A
09-20-2024 12:20:25.811,1965,RECV,20202020342E39396720200D0A
09-20-2024 12:20:25.874,1966,RECV,20202020342E39396720200D0A
09-20-2024 12:20:25.999,1967,RECV,20202020342E39396720200D0A
09-20-2024 12:20:26.062,1968,RECV,20202020342E39396720200D0A
09-20-2024 12:20:26.186,1969,RECV,20202020342E39396720200D0A
09-20-2024 12:20:26.311,1970,RECV,20202020342E39396720200D0A
09-20-2024 12:20:26.374,1971,RECV,20202020342E39396720200D0A
09-20-2024 12:20:26.436,1972,RECV,202020
09-20-2024 12:20:26.436,1973,RECV,20
09-20-2024 12:20:26.499,1974,RECV,342E39396720200D0A
09-20-2024 12:20:26.561,1975,RECV,20202020342E39396720200D0A
09-20-2024 12:20:26.624,1976,RECV,20202020342E39396720200D0A
09-20-2024 12:20:26.749,1977,RECV,20202020342E39396720200D0A
09-20-2024 12:20:26.874,1978,RECV,20202020342E39396720200D0A
09-20-2024 12:20:26.936,1979,RECV,20202020
09-20-2024 12:20:26.999,1980,RECV,342E39396720200D0A
09-20-2024 12:20:27.061,1981,RECV,20202020342E39396720200D0A
09-20-2024 12:20:27.186,1982,RECV,20202020342E39396720200D0A
09-20-2024 12:20:27.249,1983,RECV,20202020342E39396720200D0A
09-20-2024 12:20:27.311,1984,RECV,20202020342E39396720200D0A
09-20-2024 12:20:27.436,1985,RECV,20202020342E39396720200D0A
09-20-2024 12:20:27.499,1986,RECV,20202020342E39396720200D0A
09-20-2024 12:20:27.624,1987,RECV,20202020342E
09-20-2024 12:20:27.686,1988,RECV,39396720200D0A20202020342E3939672020
09-20-2024 12:20:27.749,1989,RECV,0D0A
09-20-2024 12:20:27.811,1990,RECV,20202020342E39396720200D0A
09-20-2024 12:20:27.936,1991,RECV,20202020342E39396720200D0A
09-20-2024 12:20:27.999,1992,RECV,20202020342E39396720200D0A
09-20-2024 12:20:28.124,1993,RECV,20202020342E39396720200D0A
09-20-2024 12:20:28.186,1994,RECV,20202020342E39396720
09-20-2024 12:20:28.186,1995,RECV,20
09-20-2024 12:20:28.249,1996,RECV,0D0A
09-20-2024 12:20:28.311,1997,RECV,20202020342E39396720200D0A
09-20-2024 12:20:28.374,1998,RECV,20202020342E39396720200D0A
09-20-2024 12:20:28.499,1999,RECV,20202020342E39396720200D0A
09-20-2024 12:20:28.624,2000,RECV,20202020342E39396720200D0A
09-20-2024 12:20:28.686,2001,RECV,20202020342E39396720200D0A
09-20-2024 12:20:28.811,2002,RECV,20202020342E39396720200D0A
09-20-2024 12:20:28.874,2003,RECV,20202020342E39396720200D0A
