09-20-2024 12:01:59.551,-,SERIAL,"COM15 - 9600/8/N/1/N"

09-20-2024 12:01:59.567,354,RECV,20202020342E39376720200D0A
09-20-2024 12:01:59.629,355,RECV,20202020342E39376720200D0A
09-20-2024 12:01:59.753,356,RECV,20202020342E39376720200D0A
09-20-2024 12:01:59.878,357,RECV,20202020342E39376720200D0A
09-20-2024 12:01:59.941,358,RECV,20202020342E39376720200D0A
09-20-2024 12:02:00.003,359,RECV,20202020342E3937
09-20-2024 12:02:00.066,360,RECV,6720200D0A
09-20-2024 12:02:00.191,361,RECV,20202020342E39376720200D0A202020
09-20-2024 12:02:00.253,362,RECV,20342E39376720200D0A
09-20-2024 12:02:00.378,363,RECV,20202020342E39376720200D0A
09-20-2024 12:02:00.441,364,RECV,20202020342E39376720200D0A
09-20-2024 12:02:00.503,365,RECV,20202020342E39376720200D0A
09-20-2024 12:02:00.628,366,RECV,20202020342E39376720200D0A
09-20-2024 12:02:00.691,367,RECV,20202020342E393767
09-20-2024 12:02:00.753,368,RECV,20200D0A
09-20-2024 12:02:00.816,369,RECV,20202020342E39376720200D0A
09-20-2024 12:02:00.878,370,RECV,20202020342E39376720200D0A
09-20-2024 12:02:01.003,371,RECV,20202020342E39376720200D0A
09-20-2024 12:02:01.128,372,RECV,20202020342E39376720200D0A
09-20-2024 12:02:01.191,373,RECV,20202020342E39376720
09-20-2024 12:02:01.191,374,RECV,20
09-20-2024 12:02:01.253,375,RECV,0D0A20202020342E39376720200D0A
09-20-2024 12:02:01.378,376,RECV,20202020342E
09-20-2024 12:02:01.441,377,RECV,39376720200D0A
09-20-2024 12:02:01.503,378,RECV,20202020342E39376720200D0A
09-20-2024 12:02:01.628,379,RECV,20202020342E39376720200D0A
09-20-2024 12:02:01.691,380,RECV,20202020342E39376720200D0A
09-20-2024 12:02:01.753,381,RECV,20202020342E39376720200D0A
09-20-2024 12:02:01.878,382,RECV,20202020342E39376720200D0A
09-20-2024 12:02:01.941,383,RECV,20202020342E39376720200D0A
09-20-2024 12:02:02.066,384,RECV,20202020342E3937672020
09-20-2024 12:02:02.066,385,RECV,0D
09-20-2024 12:02:02.128,386,RECV,0A2020202034
09-20-2024 12:02:02.191,387,RECV,2E39376720200D0A
09-20-2024 12:02:02.316,388,RECV,20202020342E39376720200D0A
09-20-2024 12:02:02.378,389,RECV,20202020342E39376720200D0A
09-20-2024 12:02:02.441,390,RECV,20202020342E39376720200D0A
09-20-2024 12:02:02.566,391,RECV,20202020342E39376720200D0A
09-20-2024 12:02:02.628,392,RECV,20202020342E39376720200D0A
09-20-2024 12:02:02.753,393,RECV,20202020342E39376720200D0A
09-20-2024 12:02:02.816,394,RECV,20202020342E39376720
09-20-2024 12:02:02.878,395,RECV,200D0A202020
09-20-2024 12:02:02.878,396,RECV,20
09-20-2024 12:02:02.941,397,RECV,342E39376720200D0A
09-20-2024 12:02:03.003,398,RECV,20202020342E39376720200D0A
09-20-2024 12:02:03.128,399,RECV,20202020342E39376720200D0A
09-20-2024 12:02:03.191,400,RECV,20202020342E39376720200D0A
09-20-2024 12:02:03.316,401,RECV,20202020342E39376720200D0A
09-20-2024 12:02:03.378,402,RECV,20202020342E393767
09-20-2024 12:02:03.441,403,RECV,20200D0A
09-20-2024 12:02:03.566,404,RECV,20202020342E39376720200D0A
09-20-2024 12:02:03.628,405,RECV,20202020342E39376720200D0A
09-20-2024 12:02:03.690,406,RECV,20202020342E39
09-20-2024 12:02:03.753,407,RECV,376720200D0A20202020342E39376720200D0A
09-20-2024 12:02:03.878,408,RECV,20202020342E39376720200D0A
09-20-2024 12:02:04.003,409,RECV,20202020342E39376720200D0A
09-20-2024 12:02:04.128,410,RECV,20202020342E39376720200D0A
09-20-2024 12:02:04.190,411,RECV,20202020342E39376720200D0A
09-20-2024 12:02:04.315,412,RECV,20202020342E39376720200D0A
09-20-2024 12:02:04.378,413,RECV,20202020342E39376720200D0A
09-20-2024 12:02:04.503,414,RECV,20202020342E39376720200D0A
09-20-2024 12:02:04.565,415,RECV,20202020342E39376720200D0A
09-20-2024 12:02:04.690,416,RECV,20202020342E39376720200D0A
09-20-2024 12:02:04.753,417,RECV,20202020342E39376720200D0A
09-20-2024 12:02:04.815,419,RECV,20
09-20-2024 12:02:04.815,418,RECV,2020
09-20-2024 12:02:04.878,420,RECV,20342E39376720200D0A
09-20-2024 12:02:04.940,421,RECV,20202020342E39376720200D0A
09-20-2024 12:02:05.003,422,RECV,20202020342E39376720
09-20-2024 12:02:05.065,423,RECV,200D0A
09-20-2024 12:02:05.128,424,RECV,20202020342E39376720200D0A
09-20-2024 12:02:05.253,425,RECV,20202020342E39376720200D0A
09-20-2024 12:02:05.378,426,RECV,20202020342E39376720200D0A
09-20-2024 12:02:05.440,427,RECV,20202020342E39376720200D0A
09-20-2024 12:02:05.565,428,RECV,20202020342E39376720200D0A
09-20-2024 12:02:05.628,429,RECV,20202020342E39376720200D0A
09-20-2024 12:02:05.753,430,RECV,20202020342E39376720200D0A
09-20-2024 12:02:05.815,431,RECV,20202020342E39376720200D0A
09-20-2024 12:02:05.878,432,RECV,20202020342E39376720200D0A
09-20-2024 12:02:06.003,433,RECV,20202020342E393767
09-20-2024 12:02:06.065,434,RECV,20200D0A20202020342E39376720200D0A
09-20-2024 12:02:06.190,435,RECV,20202020342E39376720200D0A
09-20-2024 12:02:06.315,436,RECV,20202020342E39376720200D0A
09-20-2024 12:02:06.440,437,RECV,20202020342E39376720200D0A20
09-20-2024 12:02:06.503,438,RECV,202020342E39376720200D0A
09-20-2024 12:02:06.565,439,RECV,20202020342E39376720200D0A
09-20-2024 12:02:06.690,440,RECV,20202020342E39376720200D0A
09-20-2024 12:02:06.815,441,RECV,20202020342E39376720200D0A
09-20-2024 12:02:06.878,442,RECV,20202020342E39376720200D0A
09-20-2024 12:02:07.003,443,RECV,20202020342E39376720200D0A
09-20-2024 12:02:07.065,444,RECV,20202020342E39376720200D0A
09-20-2024 12:02:07.128,445,RECV,20202020342E39376720200D0A
