09-14-2024 11:00:17.736,-,SERIAL,"COM9 - 9600/8/N/1/N"
09-14-2024 11:00:24.919,2151,RECV,20202020312E39396720200D0A
09-14-2024 11:00:24.972,2152,RECV,20202020
09-14-2024 11:00:25.032,2153,RECV,312E39396720200D0A20202020312E39
09-14-2024 11:00:25.084,2154,RECV,396720200D0A
09-14-2024 11:00:25.203,2155,RECV,20202020312E39396720200D0A
09-14-2024 11:00:25.255,2156,RECV,20202020312E39396720200D0A
09-14-2024 11:00:25.348,2157,RECV,20202020312E39396720200D0A
09-14-2024 11:00:25.453,2158,RECV,20202020312E39396720200D0A
09-14-2024 11:00:25.503,2159,RECV,20202020312E39396720200D0A
09-14-2024 11:00:25.616,2160,RECV,20202020312E39396720200D0A
09-14-2024 11:00:25.727,2161,RECV,20202020312E39396720200D0A
09-14-2024 11:00:25.786,2162,RECV,20202020312E39396720200D0A
09-14-2024 11:00:25.901,2163,RECV,20202020312E3939
09-14-2024 11:00:25.952,2164,RECV,6720200D0A202020
09-14-2024 11:00:26.017,2165,RECV,20312E39396720200D0A
09-14-2024 11:00:26.068,2166,RECV,20202020312E39396720
09-14-2024 11:00:26.119,2167,RECV,200D0A20202020
09-14-2024 11:00:26.183,2168,RECV,312E39396720200D0A
09-14-2024 11:00:26.237,2170,RECV,0A
09-14-2024 11:00:26.237,2169,RECV,20202020312E39396720200D
09-14-2024 11:00:26.352,2171,RECV,20202020312E39396720200D0A
09-14-2024 11:00:26.470,2172,RECV,20202020312E39396720200D0A
09-14-2024 11:00:26.520,2173,RECV,20202020312E39396720200D0A
09-14-2024 11:00:26.637,2174,RECV,20202020312E39396720200D0A
09-14-2024 11:00:26.704,2175,RECV,20202020312E39396720200D0A
09-14-2024 11:00:26.818,2176,RECV,20202020312E39396720200D0A
09-14-2024 11:00:26.920,2177,RECV,20202020312E39396720200D0A
09-14-2024 11:00:26.971,2178,RECV,20202020312E39396720200D0A
09-14-2024 11:00:27.071,2179,RECV,20202020312E39396720200D
09-14-2024 11:00:27.127,2180,RECV,0A
09-14-2024 11:00:27.188,2181,RECV,20202020312E39396720200D0A
09-14-2024 11:00:27.251,2182,RECV,20202020312E39396720200D0A
09-14-2024 11:00:27.365,2183,RECV,20202020312E39396720200D0A
09-14-2024 11:00:27.485,2184,RECV,20202020312E39396720200D0A
09-14-2024 11:00:27.538,2185,RECV,20202020312E39396720200D0A
09-14-2024 11:00:27.655,2186,RECV,20202020312E39396720200D0A
09-14-2024 11:00:27.719,2187,RECV,20202020312E39396720200D0A
09-14-2024 11:00:27.821,2188,RECV,20202020312E39396720200D0A
09-14-2024 11:00:27.886,2189,RECV,20202020312E3939
09-14-2024 11:00:27.935,2190,RECV,6720200D0A
09-14-2024 11:00:28.038,2191,RECV,20202020312E39396720200D0A
09-14-2024 11:00:28.092,2192,RECV,20202020312E39396720200D0A
09-14-2024 11:00:28.205,2193,RECV,20202020312E39396720200D0A
09-14-2024 11:00:28.306,2194,RECV,20202020312E39396720200D0A
09-14-2024 11:00:28.368,2195,RECV,20202020312E39396720200D0A
09-14-2024 11:00:28.472,2196,RECV,20202020312E39396720200D0A
09-14-2024 11:00:28.589,2197,RECV,20202020312E39396720200D0A
09-14-2024 11:00:28.639,2198,RECV,20202020312E39396720200D0A
09-14-2024 11:00:28.753,2199,RECV,20202020312E39396720200D0A
09-14-2024 11:00:28.816,2200,RECV,20202020312E39396720
09-14-2024 11:00:28.878,2201,RECV,200D0A20202020
09-14-2024 11:00:28.940,2202,RECV,312E39396720200D0A
09-14-2024 11:00:29.001,2203,RECV,20202020312E39396720200D0A
09-14-2024 11:00:29.063,2204,RECV,20202020312E39396720200D
09-14-2024 11:00:29.122,2205,RECV,0A
09-14-2024 11:00:29.223,2206,RECV,20202020312E39396720200D0A
09-14-2024 11:00:29.289,2207,RECV,20202020312E39396720200D0A
09-14-2024 11:00:29.406,2208,RECV,20202020312E39396720200D0A
09-14-2024 11:00:29.473,2209,RECV,20202020312E39396720200D0A
09-14-2024 11:00:29.589,2210,RECV,20202020312E39396720200D0A
09-14-2024 11:00:29.640,2211,RECV,20202020312E39396720200D0A
09-14-2024 11:00:29.755,2212,RECV,20202020312E39396720200D0A
09-14-2024 11:00:29.871,2213,RECV,20202020312E39396720200D0A
09-14-2024 11:00:29.923,2214,RECV,20202020312E39396720200D0A
09-14-2024 11:00:30.038,2215,RECV,20202020312E39396720200D0A
09-14-2024 11:00:30.156,2216,RECV,20202020312E39396720200D0A
09-14-2024 11:00:30.207,2217,RECV,20202020312E39396720200D0A
09-14-2024 11:00:30.322,2218,RECV,20202020312E39396720200D0A
09-14-2024 11:00:30.373,2219,RECV,20202020312E39396720200D0A
09-14-2024 11:00:30.474,2220,RECV,20202020312E39396720200D0A
09-14-2024 11:00:30.590,2221,RECV,20202020312E39396720200D0A
09-14-2024 11:00:30.656,2222,RECV,20202020312E39396720200D0A
09-14-2024 11:00:30.757,2223,RECV,20202020
09-14-2024 11:00:30.824,2224,RECV,312E39396720200D0A20
09-14-2024 11:00:30.874,2225,RECV,202020312E39396720200D0A
09-14-2024 11:00:30.924,2226,RECV,20202020312E39396720200D0A
09-14-2024 11:00:31.040,2227,RECV,20202020312E39396720200D0A
09-14-2024 11:00:31.141,2228,RECV,20202020312E39396720200D0A
09-14-2024 11:00:31.207,2229,RECV,20202020312E39396720200D0A
09-14-2024 11:00:31.310,2230,RECV,20202020312E39396720200D0A
09-14-2024 11:00:31.373,2231,RECV,20202020312E39396720
09-14-2024 11:00:31.424,2232,RECV,200D0A
09-14-2024 11:00:31.490,2233,RECV,20202020312E39396720200D0A
09-14-2024 11:00:31.541,2234,RECV,20202020312E3939672020
09-14-2024 11:00:31.591,2235,RECV,0D0A
09-14-2024 11:00:31.641,2236,RECV,202020
09-14-2024 11:00:31.641,2237,RECV,20
09-14-2024 11:00:31.707,2238,RECV,312E39396720200D0A
09-14-2024 11:00:31.757,2239,RECV,20202020312E39396720
09-14-2024 11:00:31.807,2240,RECV,200D0A20202020
09-14-2024 11:00:31.857,2241,RECV,312E39396720200D0A
09-14-2024 11:00:31.958,2242,RECV,20202020312E39396720200D0A
09-14-2024 11:00:32.024,2243,RECV,202020
09-14-2024 11:00:32.075,2244,RECV,20312E39396720200D0A
