09-13-2024 12:50:20.476,-,SERIAL,"COM14 - 9600/8/N/1/N"

09-13-2024 12:50:20.492,2625,RECV,20202020342E39376720200D0A
09-13-2024 12:50:20.553,2626,RECV,20202020342E39376720200D0A
09-13-2024 12:50:20.676,2627,RECV,20202020342E39386720200D0A
09-13-2024 12:50:20.802,2628,RECV,20202020342E39376720200D0A
09-13-2024 12:50:20.865,2629,RECV,2020202034
09-13-2024 12:50:20.927,2630,RECV,2E39376720200D0A20202020342E39376720
09-13-2024 12:50:20.990,2631,RECV,200D0A
09-13-2024 12:50:21.052,2632,RECV,20202020342E39376720200D0A
09-13-2024 12:50:21.177,2633,RECV,20202020342E39376720200D0A
09-13-2024 12:50:21.302,2634,RECV,20202020342E39376720200D0A
09-13-2024 12:50:21.365,2635,RECV,20202020342E39376720200D0A
09-13-2024 12:50:21.490,2636,RECV,20202020342E39376720200D0A
09-13-2024 12:50:21.552,2637,RECV,20202020342E39376720200D0A
09-13-2024 12:50:21.677,2638,RECV,20202020342E39376720200D0A
09-13-2024 12:50:21.740,2639,RECV,20202020342E39376720200D0A
09-13-2024 12:50:21.802,2640,RECV,20202020342E39376720200D0A
09-13-2024 12:50:21.927,2641,RECV,20202020342E393767
09-13-2024 12:50:21.989,2642,RECV,20200D0A2020
09-13-2024 12:50:22.052,2643,RECV,2020342E39376720200D0A
09-13-2024 12:50:22.177,2644,RECV,20202020342E39376720200D0A
09-13-2024 12:50:22.239,2645,RECV,20202020342E39376720200D0A
09-13-2024 12:50:22.302,2646,RECV,20202020342E39376720200D0A
09-13-2024 12:50:22.427,2647,RECV,20202020342E39376720200D0A
09-13-2024 12:50:22.489,2648,RECV,20202020342E39376720200D0A
09-13-2024 12:50:22.614,2649,RECV,20202020342E39376720200D0A
09-13-2024 12:50:22.677,2650,RECV,20202020342E39
09-13-2024 12:50:22.677,2651,RECV,37
09-13-2024 12:50:22.739,2652,RECV,6720200D0A
09-13-2024 12:50:22.864,2653,RECV,20202020342E39376720200D0A
09-13-2024 12:50:22.927,2654,RECV,20202020342E39376720200D0A
09-13-2024 12:50:22.989,2655,RECV,20202020342E39376720200D0A
09-13-2024 12:50:23.114,2656,RECV,20202020342E39376720200D0A
09-13-2024 12:50:23.177,2657,RECV,20202020342E39376720200D0A
09-13-2024 12:50:23.302,2658,RECV,20202020342E39376720200D0A
09-13-2024 12:50:23.364,2659,RECV,20202020342E39376720200D
09-13-2024 12:50:23.364,2660,RECV,0A
09-13-2024 12:50:23.427,2661,RECV,2020202034
