00:00:47.416 -> (3.1671555042, 3.0694036483, 3.2600195407, 3.1769306659, 3.2893450260, 3.0107526779)
00:00:47.521 -> (3.1622679233, 3.0938415527, 3.2551319599, 3.1720430850, 3.2893450260, 3.0058650970)
00:00:47.631 -> (3.1720430850, 3.0840663909, 3.2649071216, 3.1769306659, 3.2942326068, 3.0107526779)
00:00:47.734 -> (3.1573803424, 3.0547409057, 3.2551319599, 3.1720430850, 3.2746822834, 3.0009775161)
00:00:47.840 -> (3.1622679233, 3.1036167144, 3.2551319599, 3.1720430850, 3.2942326068, 3.0058650970)
00:00:47.946 -> (3.1720430850, 3.0938415527, 3.2600195407, 3.1818182468, 3.2942326068, 3.0058650970)
00:00:48.052 -> (3.1524927616, 3.0596284866, 3.2453567981, 3.1573803424, 3.2893450260, 3.0009775161)
00:00:48.161 -> (3.1818182468, 3.1476051807, 3.2795698642, 3.1573803424, 3.3088953495, 3.0205278396)
00:00:48.265 -> (3.1720430850, 3.0840663909, 3.2649071216, 3.1720430850, 3.2942326068, 3.0009775161)
00:00:48.370 -> (3.1573803424, 3.0938415527, 3.2600195407, 3.1720430850, 3.2893450260, 3.0058650970)
00:00:48.477 -> (3.1720430850, 3.1476051807, 3.2697947025, 3.1671555042, 3.3137829303, 3.0254154205)
00:00:48.582 -> (3.1671555042, 3.0840663909, 3.2600195407, 3.1720430850, 3.2893450260, 2.9912023544)
00:00:48.692 -> (3.1671555042, 3.1427175998, 3.2649071216, 3.1818182468, 3.3088953495, 3.0156402587)
00:00:48.877 -> (3.1964809894, 3.1329424381, 3.2649071216, 3.1818182468, 3.2942326068, 3.0107526779)
00:00:48.980 -> (3.1769306659, 3.0889539718, 3.2600195407, 3.1769306659, 3.2942326068, 3.0107526779)
00:00:49.086 -> (3.1573803424, 3.0840663909, 3.2258064746, 3.1818182468, 3.2893450260, 3.0058650970)
00:00:49.192 -> (3.1720430850, 3.1524927616, 3.2697947025, 3.1720430850, 3.3088953495, 2.9960899353)
00:00:49.301 -> (3.1671555042, 3.0547409057, 3.2502443790, 3.1573803424, 3.2844574451, 2.9863147735)
00:00:49.404 -> (3.1671555042, 3.0987291336, 3.2600195407, 3.1769306659, 3.2893450260, 3.0058650970)
00:00:49.511 -> (3.1867058277, 3.1133918762, 3.2502443790, 3.1818182468, 3.3137829303, 3.0009775161)
00:00:49.616 -> (3.1671555042, 3.0547409057, 3.2551319599, 3.1671555042, 3.2697947025, 2.9960899353)
00:00:49.723 -> (3.1720430850, 3.1085042953, 3.2502443790, 3.1818182468, 3.2991201877, 3.0009775161)
00:00:49.832 -> (3.1769306659, 3.0791788101, 3.2551319599, 3.1720430850, 3.2942326068, 3.0009775161)
00:00:49.935 -> (3.1524927616, 3.0742912292, 3.2551319599, 3.1476051807, 3.2893450260, 2.9960899353)
00:00:50.041 -> (3.1818182468, 3.1573803424, 3.2795698642, 3.1818182468, 3.3137829303, 3.0107526779)
00:00:50.148 -> (3.1818182468, 3.0742912292, 3.2600195407, 3.1867058277, 3.2942326068, 3.0107526779)
